iter	RMSE
0	1.114536363
1	1.07833684
2	1.044473112
3	1.011752101
4	0.9800710432
5	0.9516528759
6	0.9255071044
7	0.9019645902
8	0.8798679003
9	0.8598029755
10	0.8424449143
11	0.8253232299
12	0.8100892132
13	0.7953509634
14	0.7818111476
15	0.7688028723
16	0.754591642
17	0.7439198648
18	0.7316024055
19	0.7192607988
20	0.7109081217
21	0.7030246493
22	0.6934241475
23	0.6853629977
24	0.6768446262
25	0.6677628149
26	0.6625995597
27	0.6566024123
28	0.6520532976
29	0.6482234978
30	0.6443700903
31	0.6407814599
32	0.6347155557
33	0.6315270083
34	0.6262608315
35	0.6234234082
36	0.6186774828
37	0.6159815211
38	0.6121804019
39	0.6083871599
40	0.6056575632
41	0.6030610018
42	0.5995433066
43	0.5964071852
44	0.5935079552
45	0.5912934445
46	0.5895255677
47	0.5878269792
48	0.5846832756
49	0.5817819153
50	0.5786345468
51	0.5765692444
52	0.5745404338
53	0.5719987111
54	0.5693735189
55	0.5679508204
56	0.5662971953
57	0.5639563229
58	0.5627882102
59	0.5612121769
60	0.5599372858
61	0.5591276459
62	0.5574432414
63	0.5552751542
64	0.553597212
65	0.5524771144
66	0.5516360312
67	0.5497602913
68	0.5477504984
69	0.5468168253
70	0.5450815406
71	0.5436670923
72	0.5426700765
73	0.5414646675
74	0.5404981234
75	0.5394395907
76	0.5385506678
77	0.5377743002
78	0.5367515005
79	0.5357022027
80	0.5350070641
81	0.534353803
82	0.5333088949
83	0.5326483482
84	0.5316613779
85	0.5310558509
86	0.5303739796
87	0.5295044089
88	0.528867063
89	0.5282388739
90	0.5273538247
91	0.5265023945
92	0.5256269676
93	0.525068025
94	0.5244344572
95	0.523870594
96	0.5231623075
97	0.5224107596
98	0.5216777645
99	0.5209992787
100	0.5205585561
101	0.5200114542
102	0.5194622407
103	0.5187877583
104	0.5181955101
105	0.5175809353
106	0.516346055
107	0.5153115736
108	0.5138513294
109	0.5129149543
110	0.5118363015
111	0.5109630743
112	0.5104476954
113	0.5098352153
114	0.5090714876
115	0.5084580242
116	0.5080163211
117	0.5071024068
118	0.5067432828
119	0.5062533731
120	0.5059081641
121	0.5054591437
122	0.5051481612
123	0.504742643
124	0.504281663
125	0.5038220805
126	0.5035247692
127	0.5028547848
128	0.5022539284
129	0.5017696494
130	0.5011469419
131	0.5002982874
132	0.4998375306
133	0.4992106531
134	0.4987373267
135	0.4983177879
136	0.4975959469
137	0.4970304252
138	0.4964564163
139	0.4954871792
140	0.4950909006
141	0.4945626937
142	0.494182382
143	0.4937562684
144	0.4932802576
145	0.4927412958
146	0.4922911874
147	0.4919030335
148	0.4914457111
149	0.4904723714
150	0.4900013133
151	0.4895579268
152	0.4889188424
153	0.4885869722
154	0.4882318434
155	0.4878152674
156	0.4869630092
157	0.4864110565
158	0.4858158402
159	0.4852263879
160	0.4847111183
161	0.4838580407
162	0.4833448746
163	0.4829610176
164	0.4826131278
165	0.4820536252
166	0.4817431999
167	0.4811749287
168	0.4806897503
169	0.480070704
170	0.4795910936
171	0.4790325635
172	0.478511983
173	0.4781691912
174	0.477704791
175	0.4771436795
176	0.4766856926
177	0.4763402294
178	0.4759841386
179	0.475505185
180	0.4750555842
181	0.4747469611
182	0.474078481
183	0.4732478633
184	0.4727158867
185	0.4721357746
186	0.4717428374
187	0.4712550408
188	0.4707746329
189	0.4703966412
190	0.4699306214
191	0.4697201029
192	0.4694661912
193	0.4690158607
194	0.4686890432
195	0.4683585766
196	0.4679799425
197	0.4675623415
198	0.4672300455
199	0.4669582759
200	0.466645739
201	0.4663611862
202	0.4660011024
203	0.4657273273
204	0.4648491548
205	0.4644724347
206	0.4640525826
207	0.4637108165
208	0.4633350874
209	0.4629312868
210	0.4625250025
211	0.4618221802
212	0.461537809
213	0.4612039318
214	0.4608433558
215	0.4603209443
216	0.4599432048
217	0.4596465734
218	0.4593425131
219	0.4590695958
220	0.458785499
221	0.4584513714
222	0.4582596826
223	0.4578367648
224	0.4574728512
225	0.4569456465
226	0.4567367914
227	0.4564266177
228	0.4561069032
229	0.4557561928
230	0.4553699184
231	0.4550316396
232	0.4545175043
233	0.4542984097
234	0.453835933
235	0.4535614337
236	0.4532835517
237	0.4530160747
238	0.452456678
239	0.4520793566
240	0.4516527291
241	0.4513509187
242	0.4510053238
243	0.4507743736
244	0.4504991001
245	0.4499966461
246	0.4497588573
247	0.4493916443
248	0.4490845491
249	0.4486759345
250	0.448299637
251	0.4481201589
252	0.4477197402
253	0.4475862939
254	0.4473073785
255	0.4471272101
256	0.4466830805
257	0.4464247021
258	0.4461077422
259	0.4458204097
260	0.4454897251
261	0.4451685876
262	0.4448409139
263	0.4445531416
264	0.4441229408
265	0.4437960204
266	0.4435425625
267	0.4432876964
268	0.4429899055
269	0.4426762625
270	0.4424576168
271	0.4422860395
272	0.4420466995
273	0.4418924215
274	0.4416331282
275	0.4410560932
276	0.4409070841
277	0.440618543
278	0.440198895
279	0.4400658476
280	0.4398267602
281	0.4395156426
282	0.4392083313
283	0.4387170295
284	0.4385069393
285	0.4381503822
286	0.4379928351
287	0.4378110455
288	0.437622255
289	0.437387889
290	0.4371109501
291	0.4369868356
292	0.4368065767
293	0.4365585508
294	0.4363435232
295	0.4361696109
296	0.4359974622
297	0.4356902267
298	0.4354656332
299	0.4352336403
300	0.4350281084
301	0.4347307206
302	0.434385128
303	0.4341017895
304	0.4337086379
305	0.4334139835
306	0.4329462731
307	0.4327394416
308	0.4325195323
309	0.4322496276
310	0.4319916974
311	0.4318279299
312	0.4316019044
313	0.4313482883
314	0.4311557091
315	0.4309104145
316	0.4307103161
317	0.4305186388
318	0.4303738302
319	0.4302090486
320	0.4300286257
321	0.4298446839
322	0.4296280077
323	0.4294866191
324	0.4290804512
325	0.4288963921
326	0.428614188
327	0.4284504019
328	0.4281549959
329	0.4279460677
330	0.4278169451
331	0.4275873278
332	0.4274378562
333	0.4272538086
334	0.4270307651
335	0.4268867714
336	0.4266759808
337	0.4264679458
338	0.42623502
339	0.4259864234
340	0.4258043664
341	0.4256542946
342	0.4253965558
343	0.4251879962
344	0.4250678225
345	0.4249637514
346	0.4247621793
347	0.4245731739
348	0.4243831977
349	0.4241362785
350	0.4239495502
351	0.4238140245
352	0.4237181098
353	0.4234882192
354	0.4233228954
355	0.4231846831
356	0.4230006866
357	0.4228423482
358	0.4226371367
359	0.4223608842
360	0.4219938666
361	0.4218232791
362	0.4216818658
363	0.42146219
364	0.4213480929
365	0.4211400352
366	0.420975168
367	0.4208372814
368	0.4205875479
369	0.42037505
370	0.4201425722
371	0.4199348656
372	0.4197140948
373	0.4195164352
374	0.41913421
375	0.4189200295
376	0.4187089805
377	0.4185358313
378	0.4182979185
379	0.4181673424
380	0.4179065218
381	0.4177500891
382	0.4175413863
383	0.4174098558
384	0.417222668
385	0.4170326074
386	0.4168389616
387	0.4166368386
388	0.4164388856
389	0.4162251744
390	0.4159728644
391	0.4158096863
392	0.4156098992
393	0.4154580726
394	0.4152224933
395	0.4150884855
396	0.4149415472
397	0.414778247
398	0.414547243
399	0.4142902719
400	0.4140339602
401	0.4138763982
402	0.4137269943
403	0.4135677052
404	0.4133651299
405	0.4131349396
406	0.4129908292
407	0.4127362913
408	0.4125438732
409	0.4123223842
410	0.4121579003
411	0.4119952827
412	0.4118190161
413	0.4116777344
414	0.4115056866
415	0.4113783255
416	0.4111405268
417	0.4109449988
418	0.4108291439
419	0.4106961705
420	0.410574578
421	0.4103045869
422	0.4100819686
423	0.4098512095
424	0.4097851467
425	0.4095905739
426	0.4094417039
427	0.4092798217
428	0.4091606246
429	0.4089419739
430	0.4088054821
431	0.4086353943
432	0.408364226
433	0.4080928048
434	0.4079961729
435	0.4078732676
436	0.4077582324
437	0.4076125145
438	0.4074603872
439	0.4072501702
440	0.4070901506
441	0.4069696809
442	0.4068182319
443	0.4066998519
444	0.4065870528
445	0.4064796844
446	0.4063153376
447	0.4061933536
448	0.4060481669
449	0.4058128663
450	0.4056396786
451	0.4054553104
452	0.4052565272
453	0.4051930234
454	0.4050175065
455	0.4048543106
456	0.4046607441
457	0.4045589601
458	0.4044340172
459	0.4042748465
460	0.4041599575
461	0.4039903288
462	0.4039264071
463	0.4037506176
464	0.4036074134
465	0.4034475683
466	0.4033587554
467	0.4031561693
468	0.4030211768
469	0.4028542546
470	0.4027204486
471	0.4025681216
472	0.4024218216
473	0.4022442874
474	0.4020426094
475	0.4019119332
