iter	Passed	Remaining
0	56	55960
1	114	56918
2	176	58676
3	232	57912
4	298	59451
5	358	59445
6	417	59256
7	478	59346
8	535	58994
9	595	58959
10	664	59733
11	750	61754
12	833	63315
13	914	64407
14	994	65276
15	1078	66303
16	1149	66460
17	1228	67013
18	1313	67797
19	1393	68280
20	1468	68470
21	1535	68257
22	1602	68062
23	1671	67973
24	1751	68295
25	1836	68808
26	1915	69013
27	1978	68696
28	2007	67203
29	2033	65751
30	2063	64488
31	2093	63325
32	2149	62990
33	2231	63395
34	2316	63878
35	2406	64441
36	2498	65017
37	2585	65450
38	2666	65713
39	2752	66052
40	2836	66341
41	2918	66577
42	3003	66844
43	3095	67265
44	3172	67333
45	3238	67164
46	3301	66934
47	3363	66716
48	3440	66773
49	3523	66940
50	3622	67405
51	3699	67447
52	3764	67269
53	3828	67078
54	3904	67087
55	3987	67215
56	4060	67171
57	4121	66935
58	4180	66677
59	4240	66436
60	4317	66455
61	4397	66523
62	4470	66493
63	4532	66288
64	4589	66023
65	4651	65829
66	4709	65585
67	4772	65410
68	4832	65197
69	4892	65005
70	4957	64861
71	5016	64662
72	5076	64461
73	5135	64259
74	5195	64076
75	5253	63866
76	5312	63684
77	5369	63465
78	5426	63266
79	5484	63073
80	5555	63026
81	5612	62830
82	5677	62729
83	5738	62581
84	5798	62422
85	5854	62222
86	5917	62103
87	5981	61984
88	6043	61863
89	6101	61694
90	6166	61597
91	6228	61469
92	6288	61333
93	6352	61231
94	6417	61130
95	6479	61013
96	6541	60896
97	6606	60802
98	6666	60669
99	6727	60546
100	6785	60396
101	6844	60262
102	6904	60125
103	6963	59996
104	7024	59874
105	7080	59719
106	7140	59593
107	7198	59450
108	7255	59308
109	7312	59163
110	7375	59069
111	7432	58926
112	7490	58796
113	7550	58679
114	7607	58543
115	7667	58433
116	7726	58311
117	7784	58182
118	7843	58065
119	7899	57929
120	7955	57794
121	8010	57651
122	8067	57521
123	8124	57393
124	8178	57250
125	8239	57153
126	8299	57048
127	8358	56941
128	8415	56821
129	8471	56697
130	8529	56578
131	8585	56456
132	8641	56335
133	8698	56217
134	8757	56113
135	8815	56004
136	8872	55888
137	8930	55781
138	8983	55647
139	9009	55343
140	9034	55038
141	9059	54739
142	9083	54439
143	9128	54264
144	9192	54201
145	9251	54113
146	9308	54016
147	9381	54007
148	9442	53931
149	9500	53838
150	9558	53745
151	9616	53651
152	9667	53518
153	9692	53248
154	9731	53051
155	9787	52951
156	9840	52836
157	9896	52741
158	9954	52653
159	10010	52556
160	10066	52459
161	10123	52366
162	10180	52275
163	10236	52180
164	10293	52093
165	10353	52016
166	10415	51950
167	10471	51861
168	10527	51765
169	10582	51666
170	10639	51579
171	10692	51475
172	10751	51394
173	10826	51394
174	10882	51302
175	10939	51215
176	11000	51146
177	11055	51054
178	11113	50971
179	11170	50887
180	11228	50809
181	11285	50724
182	11343	50644
183	11400	50559
184	11456	50468
185	11514	50392
186	11570	50304
187	11627	50220
188	11685	50143
189	11745	50073
190	11810	50023
191	11870	49954
192	11930	49884
193	11985	49797
194	12047	49732
195	12099	49634
196	12157	49557
197	12213	49469
198	12271	49392
199	12329	49316
200	12387	49243
201	12443	49157
202	12498	49072
203	12554	48987
204	12612	48911
205	12668	48830
206	12726	48755
207	12786	48685
208	12841	48602
209	12898	48521
210	12955	48444
211	13009	48356
212	13064	48272
213	13124	48203
214	13187	48151
215	13256	48116
216	13317	48052
217	13379	47992
218	13441	47933
219	13499	47862
220	13557	47789
221	13616	47719
222	13674	47647
223	13728	47559
224	13786	47488
225	13847	47424
226	13907	47358
227	13964	47282
228	14020	47204
229	14083	47150
230	14131	47044
231	14156	46862
232	14181	46682
233	14204	46499
234	14230	46323
235	14269	46193
236	14322	46110
237	14377	46032
238	14434	45961
239	14493	45895
240	14549	45823
241	14607	45754
242	14666	45690
243	14725	45623
244	14781	45551
245	14838	45481
246	14895	45411
247	14952	45338
248	15008	45265
249	15064	45192
250	15124	45131
251	15179	45056
252	15237	44988
253	15293	44918
254	15352	44852
255	15409	44783
256	15465	44711
257	15522	44642
258	15581	44577
259	15639	44513
260	15699	44452
261	15754	44377
262	15814	44316
263	15871	44248
264	15925	44169
265	15982	44100
266	16040	44036
267	16099	43972
268	16156	43905
269	16213	43835
270	16269	43765
271	16326	43696
272	16381	43625
273	16439	43559
274	16497	43492
275	16552	43421
276	16611	43356
277	16668	43290
278	16725	43221
279	16782	43154
280	16838	43085
281	16897	43021
282	16952	42949
283	17009	42882
284	17068	42819
285	17124	42752
286	17183	42688
287	17237	42615
288	17291	42540
289	17348	42474
290	17406	42410
291	17461	42339
292	17517	42270
293	17574	42202
294	17629	42132
295	17686	42064
296	17742	41996
297	17799	41929
298	17855	41862
299	17913	41797
300	17968	41728
301	18025	41661
302	18089	41611
303	18145	41543
304	18201	41474
305	18260	41414
306	18316	41345
307	18371	41276
308	18430	41214
309	18487	41148
310	18541	41077
311	18599	41013
312	18655	40947
313	18717	40893
314	18773	40825
315	18833	40766
316	18894	40709
317	18953	40649
318	19008	40578
319	19063	40510
320	19116	40437
321	19172	40370
322	19233	40313
323	19286	40240
324	19343	40174
325	19402	40113
326	19462	40056
327	19525	40003
328	19583	39940
329	19639	39874
330	19696	39810
331	19755	39748
332	19810	39681
333	19864	39610
334	19921	39544
335	19978	39480
336	20038	39423
337	20095	39357
338	20150	39290
339	20209	39231
340	20265	39163
341	20379	39210
342	20435	39142
343	20484	39062
344	20509	38938
345	20538	38820
346	20589	38746
347	20648	38686
348	20706	38624
349	20762	38558
350	20818	38494
351	20873	38426
352	20928	38359
353	20985	38294
354	21041	38229
355	21097	38164
356	21151	38095
357	21209	38035
358	21268	37974
359	21326	37913
360	21382	37849
361	21437	37782
362	21495	37720
363	21552	37657
364	21580	37544
365	21605	37426
366	21629	37306
367	21657	37194
368	21700	37108
369	21756	37044
370	21817	36989
371	21875	36928
372	21933	36869
373	21992	36810
374	22046	36743
375	22102	36681
376	22157	36616
377	22217	36559
378	22274	36498
379	22331	36436
380	22385	36369
381	22442	36307
382	22497	36242
383	22559	36189
384	22615	36126
385	22671	36062
386	22729	36002
387	22786	35941
388	22845	35882
389	22905	35826
390	22962	35765
391	23020	35705
392	23076	35641
393	23131	35577
394	23190	35519
395	23247	35458
396	23304	35396
397	23361	35335
398	23419	35276
399	23474	35211
400	23532	35151
401	23590	35091
402	23646	35030
403	23701	34966
404	23756	34901
405	23814	34842
406	23871	34780
407	23929	34721
408	23989	34663
409	24046	34603
410	24107	34548
411	24165	34489
412	24214	34416
413	24239	34310
414	24267	34208
415	24304	34120
416	24344	34035
417	24399	33972
418	24456	33912
419	24512	33850
420	24569	33789
421	24628	33733
422	24687	33675
423	24744	33614
424	24798	33551
425	24856	33491
426	24913	33432
427	24973	33375
428	25028	33313
429	25085	33253
430	25144	33195
431	25203	33137
432	25261	33079
433	25321	33023
434	25376	32960
435	25434	32901
436	25490	32840
437	25546	32778
438	25600	32715
439	25630	32620
440	25654	32519
441	25679	32419
442	25704	32319
443	25734	32226
444	25781	32154
445	25836	32092
446	25889	32029
447	25945	31968
448	26004	31912
449	26058	31849
450	26115	31790
451	26174	31733
452	26232	31676
453	26288	31616
454	26344	31555
455	26401	31496
456	26467	31448
457	26522	31387
458	26582	31331
459	26642	31275
460	26697	31214
461	26753	31154
462	26810	31095
463	26866	31035
464	26925	30978
465	26979	30916
466	27032	30852
467	27086	30790
468	27143	30731
469	27199	30672
470	27258	30615
471	27315	30556
472	27371	30496
473	27428	30437
474	27484	30377
475	27542	30319
476	27598	30259
477	27655	30201
478	27713	30143
479	27768	30082
480	27825	30023
481	27882	29965
482	27939	29905
483	27996	29847
484	28053	29788
485	28109	29728
486	28164	29667
487	28219	29607
488	28270	29541
489	28297	29452
490	28321	29359
491	28345	29267
492	28370	29175
493	28394	29084
494	28418	28992
495	28442	28900
496	28465	28809
497	28488	28717
498	28512	28626
499	28536	28536
500	28559	28445
501	28585	28357
502	28609	28268
503	28635	28181
504	28662	28095
505	28714	28033
506	28766	27972
507	28821	27913
508	28878	27857
509	28935	27800
510	28975	27727
511	28999	27639
512	29023	27552
513	29044	27462
514	29072	27378
515	29121	27315
516	29177	27258
517	29231	27199
518	29288	27143
519	29342	27084
520	29395	27025
521	29450	26967
522	29507	26911
523	29562	26854
524	29622	26801
525	29682	26747
526	29738	26691
527	29793	26633
528	29848	26576
529	29906	26520
530	29962	26463
531	30016	26405
532	30074	26350
533	30129	26292
534	30184	26235
535	30242	26180
536	30299	26124
537	30357	26068
538	30412	26011
539	30470	25956
540	30527	25900
541	30586	25845
542	30642	25788
543	30709	25741
544	30770	25688
545	30829	25634
546	30886	25578
547	30941	25520
548	30997	25464
549	31052	25406
550	31111	25351
551	31168	25296
552	31224	25239
553	31282	25183
554	31338	25127
555	31392	25068
556	31449	25012
557	31504	24955
558	31559	24897
559	31617	24842
560	31672	24784
561	31727	24727
562	31784	24671
563	31821	24599
564	31848	24520
565	31879	24444
566	31933	24386
567	31989	24329
568	32044	24272
569	32101	24216
570	32155	24159
571	32211	24102
572	32264	24043
573	32318	23985
574	32374	23928
575	32430	23872
576	32488	23817
577	32536	23754
578	32591	23697
579	32646	23640
580	32702	23583
581	32760	23528
582	32813	23470
583	32839	23392
584	32864	23313
585	32887	23234
586	32910	23155
587	32943	23083
588	32999	23027
589	33056	22971
590	33115	22917
591	33172	22861
592	33227	22805
593	33282	22748
594	33337	22691
595	33393	22635
596	33451	22580
597	33509	22526
598	33566	22471
599	33624	22416
600	33678	22359
601	33735	22303
602	33790	22246
603	33849	22192
604	33907	22138
605	33964	22082
606	34020	22026
607	34046	21950
608	34070	21874
609	34094	21798
610	34119	21722
611	34145	21647
612	34169	21572
613	34194	21496
614	34218	21421
615	34241	21345
616	34266	21270
617	34292	21196
618	34328	21129
619	34384	21074
620	34439	21018
621	34494	20962
622	34548	20906
623	34600	20849
624	34656	20794
625	34712	20738
626	34768	20683
627	34823	20628
628	34882	20574
629	34936	20518
630	34991	20462
631	35049	20408
632	35104	20353
633	35162	20298
634	35217	20243
635	35276	20189
636	35334	20135
637	35391	20081
638	35447	20026
639	35503	19970
640	35559	19915
641	35613	19859
642	35670	19804
643	35729	19750
644	35782	19694
645	35838	19639
646	35893	19583
647	35954	19530
648	36014	19477
649	36072	19423
650	36129	19369
651	36188	19315
652	36246	19261
653	36302	19206
654	36359	19151
655	36415	19095
656	36468	19039
657	36527	18985
658	36582	18929
659	36638	18874
660	36696	18820
661	36754	18766
662	36814	18712
663	36870	18657
664	36922	18599
665	36943	18527
666	36967	18455
667	36993	18385
668	37019	18316
669	37058	18252
670	37115	18198
671	37173	18144
672	37229	18089
673	37282	18032
674	37338	17977
675	37393	17922
676	37451	17868
677	37508	17813
678	37562	17757
679	37619	17703
680	37676	17648
681	37732	17593
682	37783	17536
683	37839	17481
684	37895	17426
685	37949	17370
686	38005	17315
687	38062	17261
688	38124	17208
689	38186	17156
690	38242	17101
691	38296	17045
692	38352	16990
693	38407	16934
694	38464	16880
695	38519	16824
696	38576	16769
697	38633	16715
698	38691	16661
699	38748	16606
700	38804	16551
701	38860	16496
702	38916	16441
703	38975	16387
704	39030	16331
705	39087	16277
706	39144	16222
707	39197	16166
708	39248	16108
709	39303	16053
710	39360	15998
711	39414	15943
712	39468	15886
713	39523	15831
714	39576	15775
715	39634	15720
716	39690	15665
717	39748	15611
718	39806	15557
719	39864	15502
720	39921	15448
721	39982	15394
722	40037	15339
723	40095	15284
724	40151	15229
725	40203	15173
726	40258	15117
727	40314	15062
728	40370	15007
729	40425	14951
730	40482	14897
731	40537	14841
732	40593	14786
733	40647	14730
734	40700	14674
735	40756	14619
736	40806	14561
737	40859	14505
738	40915	14450
739	40968	14394
740	41025	14339
741	41082	14284
742	41139	14230
743	41196	14175
744	41252	14120
745	41308	14064
746	41339	14001
747	41364	13935
748	41387	13869
749	41413	13804
750	41437	13738
751	41460	13673
752	41484	13607
753	41508	13542
754	41533	13477
755	41576	13418
756	41632	13364
757	41668	13303
758	41692	13238
759	41717	13174
760	41742	13109
761	41766	13045
762	41789	12980
763	41814	12916
764	41837	12851
765	41862	12788
766	41912	12732
767	41969	12678
768	42022	12623
769	42075	12568
770	42128	12513
771	42183	12458
772	42239	12404
773	42294	12349
774	42352	12295
775	42409	12241
776	42466	12188
777	42523	12133
778	42580	12079
779	42635	12025
780	42696	11972
781	42755	11919
782	42814	11865
783	42870	11811
784	42928	11757
785	42988	11704
786	43047	11650
787	43108	11597
788	43165	11543
789	43221	11489
790	43278	11435
791	43335	11381
792	43392	11326
793	43449	11272
794	43511	11219
795	43568	11165
796	43626	11111
797	43681	11057
798	43734	11002
799	43805	10951
800	43862	10897
801	43920	10843
802	43979	10789
803	44037	10735
804	44092	10680
805	44147	10625
806	44203	10571
807	44306	10528
808	44360	10473
809	44420	10419
810	44476	10365
811	44535	10311
812	44592	10256
813	44648	10202
814	44697	10145
815	44723	10084
816	44747	10023
817	44773	9961
818	44796	9900
819	44820	9838
820	44845	9777
821	44880	9718
822	44933	9663
823	44989	9609
824	45046	9555
825	45105	9501
826	45158	9446
827	45193	9388
828	45227	9329
829	45255	9269
830	45280	9208
831	45304	9148
832	45328	9087
833	45354	9027
834	45387	8968
835	45425	8911
836	45478	8856
837	45533	8802
838	45590	8748
839	45649	8695
840	45707	8641
841	45772	8589
842	45831	8535
843	45885	8481
844	45945	8427
845	45999	8373
846	46053	8319
847	46110	8265
848	46168	8211
849	46222	8156
850	46277	8102
851	46334	8048
852	46382	7993
853	46407	7933
854	46430	7874
855	46454	7814
856	46479	7755
857	46503	7696
858	46527	7637
859	46558	7579
860	46610	7524
861	46664	7470
862	46721	7416
863	46775	7362
864	46831	7309
865	46887	7255
866	46941	7200
867	46982	7144
868	47006	7086
869	47031	7027
870	47055	6969
871	47080	6910
872	47103	6852
873	47127	6794
874	47152	6736
875	47186	6679
876	47236	6624
877	47293	6571
878	47347	6517
879	47408	6464
880	47468	6411
881	47530	6358
882	47585	6305
883	47645	6252
884	47698	6198
885	47752	6144
886	47810	6090
887	47868	6037
888	47925	5983
889	47984	5930
890	48039	5876
891	48094	5823
892	48148	5769
893	48207	5715
894	48268	5662
895	48320	5608
896	48373	5554
897	48429	5500
898	48493	5448
899	48555	5395
900	48616	5341
901	48673	5288
902	48728	5234
903	48783	5180
904	48839	5126
905	48892	5072
906	48946	5018
907	49006	4965
908	49062	4911
909	49121	4858
910	49178	4804
911	49234	4750
912	49292	4697
913	49348	4643
914	49409	4589
915	49466	4536
916	49522	4482
917	49579	4428
918	49640	4375
919	49697	4321
920	49757	4268
921	49817	4214
922	49880	4161
923	49939	4107
924	49999	4053
925	50059	4000
926	50115	3946
927	50173	3892
928	50231	3838
929	50288	3785
930	50348	3731
931	50406	3677
932	50460	3623
933	50519	3569
934	50576	3515
935	50634	3462
936	50689	3408
937	50747	3354
938	50809	3300
939	50869	3246
940	50928	3193
941	50987	3139
942	51044	3085
943	51101	3031
944	51162	2977
945	51220	2923
946	51284	2870
947	51343	2816
948	51402	2762
949	51459	2708
950	51518	2654
951	51576	2600
952	51632	2546
953	51690	2492
954	51746	2438
955	51803	2384
956	51861	2330
957	51917	2276
958	51973	2222
959	52029	2167
960	52084	2113
961	52140	2059
962	52196	2005
963	52254	1951
964	52311	1897
965	52368	1843
966	52427	1789
967	52482	1734
968	52540	1680
969	52597	1626
970	52655	1572
971	52710	1518
972	52766	1464
973	52824	1410
974	52882	1355
975	52945	1301
976	53002	1247
977	53058	1193
978	53129	1139
979	53187	1085
980	53241	1031
981	53299	976
982	53356	922
983	53411	868
984	53468	814
985	53523	759
986	53580	705
987	53635	651
988	53690	597
989	53747	542
990	53806	488
991	53863	434
992	53919	380
993	53977	325
994	54036	271
995	54093	217
996	54151	162
997	54209	108
998	54265	54
999	54324	0
